Created At,Created By,Community,Lot Number,Project_id,Project_uid,Section Number,Contract Date,Contract Type,Sales Agent,Selections Finished On,Lot Status Finished,Lot Status Released,Contract Date,Contract Type,Product Name,Elevation Name,Drafting Drafter,Drafting Assigned On,Drafting Finished,Engineering Engineer,Engineering Sent,Engineering Received,Plat Engineer,Plat Sent,Plat Received,Permitting County Name,Permitting Submitted,Permitting Received,Homesiting Completed By,Homesiting Completed On,BBP Posted,Notes
2023-11-06 13:43:31.045000,,GreenGate Villas,10,GV-HOMEARAMA-10,e9cf86b5-10de-44e1-bca3-b521ef9f18bf,HOMEARAMA,,,,,True,False,,,CUSTOM,CUSTOM,K.Fadl,,,HBS,,,Bay Design,2022-05-10,2022-05-24,Henrico,2022-05-24,2022-06-09,,,2022-06-09,Eagle Homearama House
2023-11-06 13:43:31.047000,,BHC Armstrong,43&44,AS-2-43&44,035fb772-5ce3-44c5-b291-7f12379f34a3,2,,,,,True,False,,,BHC 22F,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-14,,,2023-03-15,
2023-11-06 13:43:31.046000,,The Blufftons,22,BF--22,fd49de04-e6c7-4c86-b5e2-6b60e2fc964e,,2022-07-18 00:00:00,,,,True,False,2022-07-18,,Braddock,CUSTOM,L. Hartmann,,,Struc Tech,,,EDA,,,Goochland,2022-08-26,,,,2022-08-30,
2023-11-06 13:43:31.047000,,BHC Armstrong,73&74,AS-2-73&74,10aef1f0-35f4-4713-a920-a659fe06322a,2,,,,,True,False,,,BHC 22G,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-14,,,2023-03-14,
2023-11-06 13:43:31.047000,,BHC Armstrong,61&62,AS-2-61&62,53206783-4f68-4c5f-bb05-2571a539a52d,2,,,,,True,False,,,BHC 22F,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-13,
2023-11-06 13:43:31.047000,,BHC Armstrong,75,AS-2-75,45d2b38b-f3e3-41fc-a634-7973421aac6f,2,,,,,True,False,,,BHC 22E,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-15,,,2023-03-15,
2023-11-06 13:43:31.047000,,BHC Armstrong,77,AS-2-77,836cbec1-d5df-4cfa-9e83-b8fc321336aa,2,,,,,True,False,,,BHC 22D,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-15,,,2023-03-16,
2023-11-06 13:43:31.047000,,BHC Armstrong,60,AS-2-60,e7ead00c-dcb5-46af-a767-9d201e898efb,2,,,,,True,False,,,BHC 22C,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-10,
2023-11-06 13:43:31.046000,,Readers Branch,S4,RB-36-S4,283473d5-ba62-467f-8a82-18444c496f48,36,2021-10-05 00:00:00,,,,True,False,2021-10-05,,Corvallis,20 - Arts & Crafts,C.Zobel,,2021-10-21,Struc Tech,2021-10-21,2021-10-25,EDA,2021-12-07,2021-12-13,Goochland,2022-01-07,2022-01-31,,,2022-02-08,
2023-11-06 13:43:31.047000,,BHC Armstrong,58&59,AS-2-58&59,67abc1a8-299a-4a7f-a1b3-1f652ade559a,2,,,,,True,False,,,BHC 22G,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-10,
